x	MP_1804_P22_v_BS20	MP_1804_P4_v_A_KAsH	MP_1804_P4_v_BS20	MP_1804_P8_v_BS20	MP_1804_P28_v_BS20	MP_1804_P402_v_BS20	MP_1804_P12_v_BS20	MP_1809_P4_v_BSsF	MP_1809_P4_v_BS20	MP_1809_P8_o_BSsF	MP_1809_P8_v_BS20	MP_1809_P28_v_BS20	MP_1809_P38_o_BSsF	MP_1809_P38_v_BSsF	MP_1809_P38_v_BS20	MP_1809_P402_v_BSsF	MP_1809_P402_v_BS20	MP_1809_P12_v_BSsF	MP_1809_P12_v_BS20
ASV_1	20872	2042	7017	7242	3813	339714	72517	0	0	0	1	880	0	0	23	0	0	12	0
ASV_10	0	1577	5154	0	87	10	78218	0	0	0	0	0	0	0	0	0	0	0	94
ASV_100	4106	285	112	827	1814	1566	5615	1829	8311	3190	21012	38032	7275	978	3708	3488	2254	7341	38926
ASV_101	35489	0	0	474	1101	0	229	0	0	6	197	0	7247	253	2688	0	0	26	0
ASV_102	8	7067	130	46	15	16	48	11	1	2390	9874	43671	6812	3092	38936	47867	41613	3513	1591
ASV_103	414	0	0	468	768	343	6632	47	0	2140	2395	807	9158	407	3432	0	0	489	0
ASV_104	0	0	0	0	0	25	45	1093	834	0	1170	0	0	14	139	0	0	206	0
ASV_106	0	0	0	1963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_107	8070	8289	48368	51184	14962	2396	1079	1183	2294	100	975	181	15706	402	4512	1455	5998	48	70
ASV_108	21	0	0	0	1674	0	0	0	0	251	0	0	0	0	0	0	0	0	0
ASV_109	0	0	0	0	0	0	0	0	0	51	0	0	1868	0	0	0	0	0	0
ASV_11	14	0	6	0	0	62	22	35210	36924	0	24	0	82	25	13	0	168	0	18
ASV_110	46	18	0	358	0	15069	24427	4	0	0	0	0	0	0	0	0	0	16	0
ASV_111	0	0	0	0	0	0	0	25	0	0	0	0	1713	462	2177	0	0	0	0
ASV_112	0	2407	3161	0	333	0	0	0	0	0	0	0	16	24	103	0	0	0	0
ASV_113	17	0	2	0	571	58	934	14072	16950	0	31295	36958	20	20561	103604	14893	31753	5806	80171
ASV_116	418	396	296	804	309	44	1491	201	5	41215	24593	32008	25980	6206	29119	4853	3359	22401	3491
ASV_117	0	0	0	0	1996	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_118	3771	0	0	0	977	0	0	0	0	14329	2124	294	0	0	0	0	0	168	0
ASV_12	6	0	0	0	0	0	0	161	4	0	759	630	0	0	0	466	15124	386	61044
ASV_120	4	299	1270	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_121	6387	3056	18131	1033	1234	1032	11962	190	124	98	538	0	1278	50	203	4716	2160	306	0
ASV_122	0	0	0	40	3	140	530	0	4650	0	31	0	6	0	0	0	1388	22	0
ASV_123	142	170	1389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_124	0	32	188	48	115	2837	959	180	635	0	1642	308	0	0	0	0	0	298	0
ASV_126	0	8	100	0	0	26	0	627	122	68	2855	1275	42037	5109	35360	1298	2347	532	0
ASV_127	1	839	1844	79	0	869	152	187	0	0	0	95	0	0	0	441	0	0	0
ASV_128	0	0	0	674	0	622	6762	988	1660	0	8842	1682	0	0	0	1958	6774	1567	4967
ASV_129	0	0	0	0	0	46	37	0	0	0	0	0	3	118	1251	0	0	0	0
ASV_134	0	0	0	0	0	0	0	898	496	1005	0	0	0	0	0	0	0	0	0
ASV_14	166820	12805	66532	150039	90215	4979	3217	2825	9232	23145	19055	12476	2514	252	3530	95	1871	2424	0
ASV_142	0	0	0	0	0	395	1414	103	0	0	0	0	0	0	0	0	0	0	0
ASV_144	1313	221	1637	629	243	3485	825	114	116	3986	25672	0	34	423	3533	0	0	3912	116
ASV_146	0	0	0	0	0	487	3519	0	0	0	692	4185	0	6	0	0	0	140	1204
ASV_151	0	0	0	0	0	0	0	225	424	284	2379	2096	44809	8867	48793	0	0	676	0
ASV_152	211	60	136	3166	100	35	2023	2	0	12	51	696	26	7	2	0	0	355	13
ASV_156	0	0	0	0	278	0	0	40	55	0	928	0	74	0	0	0	0	0	1
ASV_160	0	0	0	0	0	203	568	191	53	0	28320	46532	33	16	151	138	2	4348	3984
ASV_164	0	0	0	0	0	0	0	0	0	0	1485	295	0	0	0	0	0	569	0
ASV_165	3	3	0	0	20	0	5	0	0	149	276	148	497	14	91	0	0	48	1
ASV_172	0	0	0	54	0	0	0	44	302	0	0	0	1522	714	8941	0	0	0	0
ASV_173	0	73	78	0	0	11	0	0	0	3	0	0	926	1	35	0	0	0	0
ASV_174	2468	22	237	1215	368	293	9	0	0	92	397	146	0	9	28	0	0	59	0
ASV_176	0	0	0	0	0	0	0	0	0	0	993	0	0	0	0	0	0	53	0
ASV_179	900	0	0	0	0	0	43	0	0	0	60	0	0	0	0	0	0	0	0
ASV_180	3	0	0	0	4	0	12	0	0	0	0	0	0	86	755	0	0	43	0
ASV_181	0	0	0	0	0	172	294	0	0	81	108	0	1278	562	4171	0	0	62	0
ASV_183	150	0	0	114	5652	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_184	0	0	0	0	0	0	0	23	0	831	10	0	0	0	0	0	0	4	0
ASV_19	0	0	0	4	0	70	97	0	0	3489	15011	988	4014	537	4884	0	0	5912	2
ASV_191	0	0	0	0	0	48	85	0	0	0	1	97	1802	285	2438	0	0	0	0
ASV_194	0	0	0	0	0	0	0	0	0	27	0	0	82	0	0	776	0	0	0
ASV_196	763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_197	725	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_208	0	0	0	73	916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_210	686	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	75	0
ASV_212	0	0	0	14	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_213	3937	111	1159	280	1326	0	502	0	0	0	0	0	0	0	0	0	0	0	0
ASV_215	0	0	0	0	0	87	300	350	730	0	1595	60	0	440	3822	62	0	223	407
ASV_217	0	112	543	0	2739	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_219	0	0	0	0	0	0	0	0	0	0	0	0	75	77	433	286	43	10	0
ASV_229	604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_231	98	1479	1656	0	0	35	0	14	153	0	0	0	0	0	0	0	0	0	0
ASV_242	0	0	0	0	0	202	369	0	0	5	4919	0	0	0	0	0	0	661	455
ASV_251	948	317	1007	1639	290	52	89	0	0	4071	5684	1127	34	0	0	303	17	1423	0
ASV_269	0	0	0	433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_27	0	0	0	0	0	0	5	0	0	0	1555	6978	0	891	6916	0	0	78	0
ASV_271	0	0	0	0	0	0	0	37	76	0	0	0	83	59	173	0	0	0	0
ASV_274	0	0	0	0	0	0	0	0	0	0	150	161	0	0	0	0	0	173	0
ASV_276	0	0	0	0	0	5	0	0	0	0	0	0	0	31	381	0	0	0	0
ASV_278	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_28	0	0	0	0	0	0	0	7003	8382	0	0	0	183	9	0	0	0	0	0
ASV_281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946
ASV_284	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0
ASV_289	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0
ASV_29	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	11836	2991	0	0
ASV_293	0	0	0	135	0	258	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_295	0	0	0	378	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_298	0	107	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_301	2653	0	0	58	89	0	0	0	0	265	0	398	0	0	0	0	0	11	0
ASV_307	1	0	0	108	66	0	16	141	85	0	0	0	0	17	221	90	41	11	0
ASV_308	0	0	0	0	0	576	6979	0	0	0	0	0	0	0	0	0	0	0	0
ASV_312	0	0	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0
ASV_316	0	0	0	0	0	0	0	25	310	0	0	0	0	0	0	0	0	0	0
ASV_318	3	0	17	0	0	0	4	0	5	256	0	0	0	0	0	0	30	6	11
ASV_319	0	0	0	0	0	0	2	53	12	3	0	0	10	0	0	253	0	0	0
ASV_32	13480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_322	0	0	0	0	0	0	0	0	0	0	323	0	0	0	0	0	0	0	0
ASV_323	21	0	0	0	0	0	0	0	0	8	6	58	194	8	36	28	0	109	10
ASV_327	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0
ASV_338	0	0	0	0	0	0	0	0	0	0	0	0	0	42	247	0	0	0	0
ASV_343	0	0	0	0	0	0	0	0	0	115	0	0	93	3	0	0	0	70	0
ASV_350	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_351	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	0	0
ASV_356	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_362	0	0	0	0	0	0	3	0	0	0	0	0	0	26	219	0	0	0	0
ASV_369	0	0	0	0	0	0	0	0	0	185	20	81	0	0	0	0	0	129	0
ASV_371	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_380	0	0	0	0	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0
ASV_381	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0
ASV_383	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	14	47	105	0
ASV_387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	0
ASV_39	2	326	1675	363	764	0	228	0	0	0	1703	7423	0	0	0	0	0	185	0
ASV_394	3126	0	0	550	2	0	10	0	0	0	0	0	0	0	0	0	0	0	1
ASV_397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	0	0
ASV_399	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0
ASV_408	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_411	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0
ASV_414	0	0	0	0	21	0	0	187	4	0	0	0	0	0	25	0	0	0	0
ASV_418	9	0	0	2	0	0	2	10	0	8	0	4	230	8	30	4	0	0	13
ASV_419	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_421	0	0	0	0	0	0	0	0	11	0	174	0	0	0	0	0	0	0	0
ASV_422	173	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_424	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_425	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0
ASV_428	0	0	0	0	0	168	0	71	32	0	0	0	0	0	0	0	0	0	0
ASV_429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	189	0	0
ASV_440	0	0	3	0	0	4	0	157	38	0	0	0	11	0	0	0	0	0	0
ASV_443	0	0	0	0	0	2	10	0	0	0	0	134	0	0	0	0	0	15	0
ASV_448	125	0	0	3	0	15	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_46	0	0	3	0	0	0	0	1464	5102	0	0	0	0	0	0	0	0	0	1
ASV_470	119	0	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_471	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0
ASV_478	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0
ASV_482	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_491	0	0	0	0	0	0	0	0	0	176	150	0	0	0	0	0	0	65	0
ASV_50	0	0	0	0	0	1	0	0	0	0	0	0	1	7	36	5170	1305	0	0
ASV_503	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0
ASV_505	0	0	0	0	0	0	0	66	0	23	0	0	1	0	0	14	0	0	0
ASV_510	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_511	141	0	0	0	39	0	0	0	0	0	0	45	7	0	13	0	0	0	0
ASV_516	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0
ASV_521	0	0	0	0	0	276	170	1211	2553	0	141	0	0	0	0	0	0	130	2
ASV_523	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	38	0
ASV_525	0	0	0	0	0	0	0	0	0	0	0	0	88	6	0	0	0	0	0
ASV_527	34	3	0	0	2	0	6	0	0	0	0	5	0	2	0	2	0	0	96
ASV_53	6106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_530	0	0	0	0	0	0	0	0	0	70	0	7	4	0	0	0	0	10	0
ASV_536	178	0	0	3	2	0	0	0	0	0	0	0	17	0	9	0	0	0	20
ASV_537	51	0	0	0	121	0	39	0	0	15	0	21	25	4	0	0	0	10	0
ASV_546	22	0	0	61	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_550	0	0	0	0	0	0	0	0	0	0	8	0	70	8	5	0	0	8	0
ASV_553	0	0	0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0
ASV_559	0	0	0	0	63	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_561	0	0	0	0	0	0	0	0	0	3	0	6	56	1	14	0	0	2	0
ASV_567	34	0	0	2	8	0	0	0	0	8	0	0	22	0	0	0	0	1	0
ASV_571	0	0	0	0	0	0	0	0	0	0	0	17	44	0	0	104	0	5	0
ASV_576	0	0	0	38	0	0	34	0	0	0	0	0	0	0	0	0	0	71	0
ASV_586	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_594	0	0	0	0	0	0	4	0	0	0	0	0	62	1	1	0	0	0	0
ASV_596	0	0	0	7	76	7	64	0	0	0	0	0	0	0	0	0	0	0	0
ASV_600	0	0	0	0	0	5	55	0	0	0	0	0	0	0	3	0	0	0	0
ASV_603	0	0	0	0	0	0	0	0	0	0	0	37	0	3	59	0	0	0	0
ASV_607	0	0	0	0	0	0	0	0	0	18	0	0	20	0	6	0	0	17	0
ASV_615	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0
ASV_619	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_621	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	3972	0	0	0	0	0	0	644	0
ASV_635	0	0	0	0	0	0	0	46	7	0	0	0	0	0	0	0	0	0	0
ASV_637	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	53	0
ASV_642	79	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
ASV_650	0	8	0	0	0	0	0	0	0	3	0	1	0	0	8	55	0	5	0
ASV_657	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0
ASV_660	0	0	0	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0
ASV_663	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_670	0	0	0	0	0	0	0	0	0	0	0	0	41	0	21	0	0	0	0
ASV_673	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_674	0	0	0	14	3	0	0	22	0	0	0	0	0	0	0	0	0	0	0
ASV_685	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	20	0
ASV_687	0	0	0	0	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0
ASV_701	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_703	15	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_713	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_714	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0
ASV_721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ASV_727	0	0	0	0	0	0	0	0	0	0	26	0	0	0	24	0	0	3	0
ASV_734	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ASV_736	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV_737	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV_743	0	0	0	0	0	0	19	0	23	0	0	0	0	0	3	0	0	0	0
ASV_749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV_752	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_757	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	7	0
ASV_759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0	0	9	62	1590	1778	0	0
ASV_765	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_766	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_771	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_772	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_777	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_780	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0
ASV_786	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_790	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	0	0	0	0
ASV_796	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
ASV_808	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_811	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_813	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0
ASV_814	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ASV_816	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV_825	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_827	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
ASV_831	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV_837	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_845	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_847	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_849	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_850	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
ASV_853	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0
ASV_856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
ASV_858	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_859	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
ASV_863	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_864	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_868	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV_877	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_880	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_881	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
ASV_882	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ASV_883	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_887	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0
ASV_889	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
ASV_892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
ASV_896	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_900	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
ASV_905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_908	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_91	0	572	1967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_910	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ASV_911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ASV_94	1994	0	0	83	335	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_95	0	0	0	0	0	1217	649	208	301	0	0	0	0	0	0	0	0	0	0
